id;isActive;username;password;vatNumber;name;surname;address;phoneNumber;email

1;TRUE;athanasia123;a3oI4G^i5x8M;647342486;Athanasia;Dima;Mpizaniou 103, Ilion;6980071645;athanasiadima@email.com
2;TRUE;marin89;sB6d904Th&bW;933017639;Marina;Nikolaou;Kostantinoupoleos 2, Petroupoli;6932554834;marinanik@email.com
3;FALSE;dimit0;j71Lm21^8pBh;658900599;Dimitra;Dimopoulou;Elaion 78, Pagrati;6387210096;dimitradim@ediil.com
4;TRUE;basil4;e4M7Z56@@ltZ;806334548;Elena;Aygenaki;Zaimh 18, Patra;6945725489;basilikiayg@ebail.com
5;FALSE;chris7v;rD4qvNp&45Y1;649350545;Christoforos;Papakaliatis;Solonos 46, Agii Anargiri;6985120736;christoforospap@echil.com
6;FALSE;dimit49;mXy59z7bO#XL;549640784;Dimitris;Mandas;Beikou 24, Galatsi;6944424450;dimitrisman@ediil.com
7;TRUE;panag00;22S!0m3%Q1m@;801804315;Panagiotis;Aygerinos;Parnithos 130, Kipseli;6938880045;panagiotisayg@epail.com
8;TRUE;nikif6;82RFI7Vc!I#4;315092424;Nikiforos;Nikolaou;Axarnai 96, Axarnai;6977754641;nikiforosnik@eniil.com
9;TRUE;menel77;mf&V7p3A8En6;503019316;Menelaos;Papoutsis;Liosion 136, Athina;6932074720;menelaospap@emeil.com
10;FALSE;apoll4X;ek6MXY06&w1N;380862514;Apollonas;Zografos;Odemisiou 12, Vironas;6932445410;apollonaszog@eapil.com
11;FALSE;xaril2;8F76$9DzCQtd;897234028;Xarilaos;Limneou;Vosporou 10, Ilioupoli;6912015203;xarilaoslim@exail.com
12;TRUE;apost3N;40lkNI1pg@61;995300606;Apostolis;Sarantopoulos;Platonos 65, Alimos;6952446310;apostolissar@eapil.com
13;TRUE;diony2$;U6hE$H5W4o@&;893036743;Dionysis;Dimitriou;Ragkavi 13, Pireas;6978142245;dionysisdim@ediil.com
14;FALSE;aliki0I;^G48IR4Rx73l;262817629;Aliki;Zaxari;Paulou Mela 75, Chaidari;6932225016;alikizax@ealil.com
15;FALSE;aglai45;z3$k55gg0BUo;430217116;Aglaia;Panou;Kifisou 11, Patras;6978849452;aglaiapan@eagil.com
16;TRUE;afrod59D;R9m9D4%D70X0;807304420;Afroditi;Kola;Dim. Gounari 49, Patras;6978224563;afroditikol@eafil.com
17;FALSE;pinel4G;Ok!iGu71O2L4;294865984;Pinelopi;Karampela;Kanakari 66, Patras;6947182432;pinelopikar@epiil.com
18;TRUE;dorot23;cH$x3Uu^00!G;736622865;Dorothea;Kalifoni;Pente Pigadion 43, Patras;6980056201;dorotheakal@edoil.com
19;FALSE;xar24;oh5D4dAJ*078;109065222;Xara;Xenopoulou;Raftopoulou 17, Iraklio;6978410235;xaraxen@exail.com
20;TRUE;pelag5;2$#dH5xFBs4X;758063038;Pelagia;Papadaki;Zimvrakakidon 85, Chania;6945632598;pelagiapap@epeil.com
